ZXZXIXXI	(2.6004961911365427e-06+0j)
IZIIIZIZ	(0.0014577159781057007+0j)
IZIZIZII	(0.0014577159781057007+0j)
YYIIIZIZ	(-2.5798625648642493e-08+0j)
XXIIIZIZ	(-2.5798625648642493e-08+0j)
IZIIYYIZ	(-2.5798625648603622e-08+0j)
IZIIXXIZ	(-2.5798625648603622e-08+0j)
YYIZIZII	(-2.5798625648603622e-08+0j)
XXIZIZII	(-2.5798625648603622e-08+0j)
IZIZYYII	(-2.5798625648642493e-08+0j)
IZIZXXII	(-2.5798625648642493e-08+0j)
YYIIYYIZ	(-7.306673104219368e-05+0j)
XXIIYYIZ	(-7.306673104219368e-05+0j)
YYIIXXIZ	(-7.306673104219368e-05+0j)
XXIIXXIZ	(-7.306673104219368e-05+0j)
YYIZYYII	(-7.306673104219368e-05+0j)
XXIZYYII	(-7.306673104219368e-05+0j)
YYIZXXII	(-7.306673104219368e-05+0j)
XXIZXXII	(-7.306673104219368e-05+0j)
IZIIIZYY	(-0.000428505340314389+0j)
IZIIIZXX	(-0.000428505340314389+0j)
IZYYIZII	(-0.000428505340314389+0j)
IZXXIZII	(-0.000428505340314389+0j)
YYIIIZYY	(7.760493335340588e-08+0j)
XXIIIZYY	(7.760493335340588e-08+0j)
YYIIIZXX	(7.760493335340588e-08+0j)
XXIIIZXX	(7.760493335340588e-08+0j)
IZIIYYYY	(7.760493335342036e-08+0j)
IZIIXXYY	(7.760493335342036e-08+0j)
IZIIYYXX	(7.760493335342036e-08+0j)
IZIIXXXX	(7.760493335342036e-08+0j)
YYYYIZII	(7.760493335342036e-08+0j)
XXYYIZII	(7.760493335342036e-08+0j)
YYXXIZII	(7.760493335342036e-08+0j)
XXXXIZII	(7.760493335342036e-08+0j)
IZYYYYII	(7.760493335340588e-08+0j)
IZXXYYII	(7.760493335340588e-08+0j)
IZYYXXII	(7.760493335340588e-08+0j)
IZXXXXII	(7.760493335340588e-08+0j)
YYIIYYYY	(8.718362204217876e-05+0j)
XXIIYYYY	(8.718362204217876e-05+0j)
YYIIXXYY	(8.718362204217876e-05+0j)
XXIIXXYY	(8.718362204217876e-05+0j)
